ID,Asu09i,Asu09ii,Asu15i,Asu15ii,Asu18i,Asu18ii,Cau02i,Cau02ii,Dpu16i,Dpu16ii,Mau23i,Mau23ii
1,126,138,139,139,116,126,125,125,156,156,149,153
2,130,146,127,141,118,126,121,129,154,156,147,149
3,126,142,119,143,116,122,123,125,156,156,149,153
4,138,144,127,143,116,144,125,125,158,158,153,153
5,126,146,121,121,112,116,125,125,156,156,149,153
6,128,142,125,127,116,120,125,125,156,156,149,153
7,126,130,127,139,116,136,125,127,154,156,149,149
8,126,128,127,127,122,144,121,127,156,158,149,149
9,0,0,0,0,116,140,129,139,152,158,149,149
10,126,128,141,143,114,128,125,137,156,156,149,153
11,0,0,0,0,0,0,0,0,0,0,0,0
12,124,142,129,129,126,148,125,127,156,156,0,0
13,130,142,127,127,136,148,127,127,156,156,149,149
14,132,134,117,139,116,118,125,127,154,156,149,155
15,128,130,133,133,116,124,125,131,156,156,149,153
16,130,142,123,127,126,130,127,135,152,156,149,153
17,128,130,0,0,122,132,0,0,156,156,149,153
18,128,130,133,143,130,132,127,127,154,154,149,149
19,0,0,0,0,0,0,0,0,0,0,0,0
20,132,142,121,149,126,126,121,125,156,156,149,149
21,126,128,121,149,126,132,119,125,156,156,149,149
22,126,130,121,141,116,126,121,123,154,156,149,149
23,124,128,145,147,122,140,137,139,152,156,149,153
24,126,126,127,133,116,136,121,129,156,156,151,153
25,126,126,121,127,120,136,125,139,156,156,149,149
26,126,138,131,131,116,126,127,129,152,158,149,153
